Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
28079 Madrid;;;Renta neta media por hogar;2023;49.916
28079 Madrid;2807901 Madrid distrito 01;;Renta neta media por hogar;2023;44.958
28079 Madrid;2807902 Madrid distrito 02;;Renta neta media por hogar;2023;52.857
28079 Madrid;2807903 Madrid distrito 03;;Renta neta media por hogar;2023;64.787
28079 Madrid;2807904 Madrid distrito 04;;Renta neta media por hogar;2023;69.147
28079 Madrid;2807905 Madrid distrito 05;;Renta neta media por hogar;2023;79.274
28079 Madrid;2807906 Madrid distrito 06;;Renta neta media por hogar;2023;45.762
28079 Madrid;2807907 Madrid distrito 07;;Renta neta media por hogar;2023;65.174
28079 Madrid;2807908 Madrid distrito 08;;Renta neta media por hogar;2023;62.385
28079 Madrid;2807909 Madrid distrito 09;;Renta neta media por hogar;2023;71.711
28079 Madrid;2807910 Madrid distrito 10;;Renta neta media por hogar;2023;38.078
28079 Madrid;2807911 Madrid distrito 11;;Renta neta media por hogar;2023;36.350
28079 Madrid;2807912 Madrid distrito 12;;Renta neta media por hogar;2023;34.651
28079 Madrid;2807913 Madrid distrito 13;;Renta neta media por hogar;2023;32.666
28079 Madrid;2807914 Madrid distrito 14;;Renta neta media por hogar;2023;42.823
28079 Madrid;2807915 Madrid distrito 15;;Renta neta media por hogar;2023;46.937
28079 Madrid;2807916 Madrid distrito 16;;Renta neta media por hogar;2023;61.472
28079 Madrid;2807917 Madrid distrito 17;;Renta neta media por hogar;2023;35.011
28079 Madrid;2807918 Madrid distrito 18;;Renta neta media por hogar;2023;39.836
28079 Madrid;2807919 Madrid distrito 19;;Renta neta media por hogar;2023;42.870
28079 Madrid;2807920 Madrid distrito 20;;Renta neta media por hogar;2023;44.468
28079 Madrid;2807921 Madrid distrito 21;;Renta neta media por hogar;2023;58.405
