provincia,zona,titulo,precio_actual,metros,habitaciones,ascensor,planta,baños,cod_distrito,renta_neta_media_por_hogar
madrid,ciudad-lineal,"Piso en calle de San Marcelo, 22, Ventas, Madrid",355000,69,2.0,S,5ª,1,15,46937
madrid,carabanchel,"Piso en calle Cabo Nicolás Mur, San Isidro, Madrid",149000,91,3.0,N,1ª,0,11,3635
madrid,centro,"Piso en calle de Rodas, Lavapiés-Embajadores, Madrid",195000,36,1.0,S,2ª,0,01,44958
madrid,usera,"Piso en calle de Ferroviarios, Almendrales, Madrid",195000,58,1.0,S,BAJO,0,12,34651
madrid,tetuan,"Dúplex en Bellas Vistas, Madrid",715000,140,3.0,S,2ª,0,06,45762
madrid,arganzuela,"Piso en Mazarredo, 18, Imperial, Madrid",1257000,135,3.0,S,3ª,0,02,52857
madrid,barrio-de-salamanca,"Piso en calle de Núñez de Balboa, Recoletos, Madrid",830000,81,1.0,S,6ª,0,04,69147
madrid,puente-de-vallecas,"Piso en calle de Rodríguez Espinosa, s/n, Palomeras Bajas, Madrid",70000,43,1.0,N,1ª,0,13,32666
madrid,moncloa,"Chalet adosado en calle de la Isla de Alegranza, 51, Ciudad Universitaria, Madrid",2150000,500,6.0,S,3ª,0,09,71711
madrid,chamberi,"Piso en Blanca de Navarra, 4, Almagro, Madrid",1847800,139,2.0,S,3ª,0,07,65174
madrid,arganzuela,"Piso en calle de Jaime el Conquistador, Chopera, Madrid",509000,90,3.0,S,1ª,2,02,52857
madrid,chamartin,"Chalet adosado en paseo de los Cerezos, Bernabéu-Hispanoamérica, Madrid",1985000,375,5.0,S,2ª,0,05,79274
madrid,usera,"Piso en calle Horizón, 3, Orcasitas, Madrid",275000,80,2.0,S,2ª,0,12,34651
madrid,barrio-de-salamanca,"Piso en calle de Núñez de Balboa, Recoletos, Madrid",1789000,152,2.0,S,2ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle del Vizconde de Matamala, 26, Fuente del Berro, Madrid",380000,67,1.0,S,1ª,0,04,69147
madrid,puente-de-vallecas,"Piso en calle Pico de la Maliciosa, Numancia, Madrid",220000,76,3.0,N,2ª,2,13,32666
madrid,villaverde,"Piso en calle de Sáhara, 46, Los Rosales, Madrid",145000,58,2.0,N,1ª,0,17,35011
madrid,barrio-de-salamanca,"Piso en calle de Goya, Goya, Madrid",3600000,379,5.0,S,3ª,0,04,69147
madrid,fuencarral,"Piso en calle de la Isla de Sumatra, 51, Tres Olivos - Valverde, Madrid",330000,92,2.0,N,BAJO,0,08,62385
madrid,retiro,"Piso en calle del Doctor Castelo, Ibiza, Madrid",1295000,124,3.0,S,3ª,0,03,64787
madrid,chamberi,"Piso en calle de Medellín, Trafalgar, Madrid",1200000,130,3.0,S,4ª,0,07,65174
madrid,moratalaz,"Piso en calle del Corregidor Señor de la Elipa, Marroquina, Madrid",152000,55,2.0,N,BAJO,0,14,42823
madrid,barrio-de-salamanca,"Piso en Lista, Madrid",1020000,110,2.0,S,3ª,1,04,69147
madrid,chamartin,"Piso en calle de Marcenado, Ciudad Jardín, Madrid",519000,99,3.0,S,1ª,0,05,79274
madrid,moncloa,"Ático en Aravaca, Madrid",1300000,240,4.0,S,2ª,0,09,71711
madrid,centro,"Piso en calle del Prado, Huertas-Cortes, Madrid",800000,114,2.0,S,2ª,0,01,44958
madrid,carabanchel,"Piso en Buena Vista, Madrid",159000,59,2.0,N,1ª,0,11,3635
madrid,ciudad-lineal,"Piso en calle de Caleruega, 51, Costillares, Madrid",995000,158,4.0,S,16ª,0,15,46937
madrid,chamartin,"Piso en avenida de Pío XII, Castilla, Madrid",550000,80,1.0,S,13ª,1,05,79274
madrid,tetuan,"Piso en calle de Ávila, Cuatro Caminos, Madrid",210000,41,1.0,S,BAJO,0,06,45762
madrid,centro,"Piso en calle Mayor, Palacio, Madrid",1150000,196,4.0,S,2ª,0,01,44958
madrid,moncloa,"Chalet adosado en calle Pilar de Andrade. 23 -, 25, El Plantío, Madrid",887315,279,4.0,S,1ª,0,09,71711
madrid,barrio-de-salamanca,"Piso en calle de Castelló, Castellana, Madrid",1329000,135,2.0,S,1ª,0,04,69147
madrid,centro,"Piso en calle del León, Huertas-Cortes, Madrid",529000,87,3.0,N,2ª,1,01,44958
madrid,barrio-de-salamanca,"Piso en calle de Ayala, Goya, Madrid",2990000,308,5.0,S,4ª,0,04,69147
madrid,chamberi,"Ático en Almagro, Madrid",1390000,110,2.0,S,9ª,0,07,65174
madrid,hortaleza,"Piso en calle Azagra, 14, Pinar del Rey, Madrid",136000,68,1.0,N,3ª,0,16,61472
madrid,hortaleza,"Piso en avenida de Niceto Alcalá Zamora, Sanchinarro, Madrid",600000,105,3.0,S,3ª,0,16,61472
madrid,barrio-de-salamanca,"Piso en calle de Hermosilla, Recoletos, Madrid",6000000,380,5.0,S,4ª,0,04,69147
madrid,barrio-de-salamanca,"Piso en calle de Diego de León, Lista, Madrid",2619000,219,4.0,S,4ª,0,04,69147
madrid,san-blas,"Piso en avenida de Hellín, Hellín, Madrid",128000,59,20.0,N,BAJO,0,20,44468
madrid,arganzuela,"Piso en calle de Segovia, Imperial, Madrid",375000,63,1.0,S,7ª,0,02,52857
madrid,centro,"Estudio en calle de la Princesa, 12, Malasaña-Universidad, Madrid",280000,40,2.0,S,7ª,0,01,44958
madrid,latina,"Piso en calle de Cardenal Mendoza, Puerta del Ángel, Madrid",180000,47,2.0,N,1ª,0,10,38078
madrid,moncloa,"Piso en de Evangelina Sobredo Galanes, s/n, Valdemarín, Madrid",571850,93,1.0,S,BAJO,0,09,71711
madrid,carabanchel,"Piso en calle del General Ricardos, Opañel, Madrid",146990,72,2.0,S,2ª,0,11,3635
madrid,tetuan,"Piso en calle de Tablada, Berruguete, Madrid",545000,90,3.0,S,2ª,2,06,45762
madrid,hortaleza,"Casa o chalet independiente en calle Castillo de Aysa, Conde Orgaz-Piovera, Madrid",5500000,1150,9.0,S,4ª,0,16,61472
madrid,centro,"Ático en calle del León, 10, Huertas-Cortes, Madrid",440000,82,1.0,S,4ª,0,01,44958
madrid,centro,"Dúplex en calle de Embajadores, Lavapiés-Embajadores, Madrid",595000,132,3.0,S,5ª,0,01,44958
